x=980, y=570, key=1, timestamp=1652874157316
x=1128, y=452, key=1, timestamp=1652874158469
x=219, y=279, key=1, timestamp=1652874163799
x=219, y=279, key=1, timestamp=1652874163953
x=929, y=447, key=1, timestamp=1652874170251
x=1450, y=450, key=1, timestamp=1652874171501
x=239, y=260, key=1, timestamp=1652874173596
x=242, y=261, key=1, timestamp=1652874174410
x=242, y=261, key=1, timestamp=1652874174562
x=239, y=279, key=1, timestamp=1652874175350
x=239, y=279, key=1, timestamp=1652874175503
x=1530, y=98, key=1, timestamp=1652874176806
x=696, y=94, key=1, timestamp=1652874180041
x=270, y=285, key=1, timestamp=1652874181744
x=270, y=285, key=1, timestamp=1652874181896
x=701, y=99, key=1, timestamp=1652874186612
x=1860, y=19, key=1, timestamp=1652874189221
x=963, y=0, key=1, timestamp=1652874193054
x=1078, y=0, key=1, timestamp=1652874211383
x=1293, y=0, key=1, timestamp=1652874212865
x=1418, y=4, key=1, timestamp=1652874214136
x=2382, y=405, key=1, timestamp=1652874237726
x=355, y=16, key=1, timestamp=1652874301696
x=426, y=526, key=3, timestamp=1652874312762
x=954, y=0, key=1, timestamp=1652874313563
x=679, y=541, key=1, timestamp=1652874332225
x=2932, y=476, key=1, timestamp=1652874354126
x=2639, y=232, key=1, timestamp=1652874367426
x=2385, y=469, key=1, timestamp=1652874370019
x=930, y=501, key=1, timestamp=1652874375053
x=1634, y=573, key=1, timestamp=1652874378854
x=507, y=535, key=1, timestamp=1652874386745
x=1457, y=527, key=1, timestamp=1652874422542
x=78, y=55, key=1, timestamp=1652874466592
x=94, y=55, key=1, timestamp=1652874470044
x=94, y=55, key=1, timestamp=1652874474491
x=989, y=4, key=3, timestamp=1652874475610
x=377, y=382, key=3, timestamp=1652874485506
x=927, y=0, key=1, timestamp=1652874486160
x=1435, y=854, key=1, timestamp=1652874494077
x=7, y=685, key=1, timestamp=1652874522491
x=1019, y=620, key=1, timestamp=1652874523617
x=886, y=544, key=1, timestamp=1652874524631
x=1037, y=513, key=1, timestamp=1652874532041
x=1022, y=510, key=1, timestamp=1652874542738
x=1022, y=510, key=1, timestamp=1652874549165
x=1022, y=510, key=1, timestamp=1652874559685
x=1022, y=510, key=1, timestamp=1652874568095
x=1022, y=510, key=1, timestamp=1652874574616
x=1022, y=510, key=1, timestamp=1652874581219
