x=1024, y=568, timestamp=08/5/2022 15:06:13
x=1024, y=569, timestamp=08/5/2022 15:06:13
x=1024, y=569, timestamp=08/5/2022 15:06:13
x=1025, y=569, timestamp=08/5/2022 15:06:13
x=1025, y=569, timestamp=08/5/2022 15:06:13
x=1026, y=569, timestamp=08/5/2022 15:06:13
x=1027, y=570, timestamp=08/5/2022 15:06:13
x=1028, y=571, timestamp=08/5/2022 15:06:13
x=1028, y=571, timestamp=08/5/2022 15:06:13
x=1029, y=571, timestamp=08/5/2022 15:06:13
x=1029, y=572, timestamp=08/5/2022 15:06:13
x=1030, y=572, timestamp=08/5/2022 15:06:13
x=1032, y=573, timestamp=08/5/2022 15:06:13
x=1034, y=573, timestamp=08/5/2022 15:06:13
x=1034, y=573, timestamp=08/5/2022 15:06:13
x=1035, y=574, timestamp=08/5/2022 15:06:13
x=1035, y=574, timestamp=08/5/2022 15:06:13
x=1036, y=575, timestamp=08/5/2022 15:06:13
x=1037, y=575, timestamp=08/5/2022 15:06:13
x=1038, y=575, timestamp=08/5/2022 15:06:13
x=1039, y=575, timestamp=08/5/2022 15:06:13
x=1040, y=576, timestamp=08/5/2022 15:06:13
x=1041, y=576, timestamp=08/5/2022 15:06:13
x=1042, y=577, timestamp=08/5/2022 15:06:13
x=1045, y=578, timestamp=08/5/2022 15:06:13
x=1047, y=578, timestamp=08/5/2022 15:06:13
x=1048, y=579, timestamp=08/5/2022 15:06:13
x=1048, y=579, timestamp=08/5/2022 15:06:13
x=1049, y=579, timestamp=08/5/2022 15:06:13
x=1051, y=580, timestamp=08/5/2022 15:06:13
x=1051, y=580, timestamp=08/5/2022 15:06:13
x=1052, y=580, timestamp=08/5/2022 15:06:13
x=1053, y=580, timestamp=08/5/2022 15:06:13
x=1054, y=581, timestamp=08/5/2022 15:06:13
x=1055, y=581, timestamp=08/5/2022 15:06:13
x=1055, y=581, timestamp=08/5/2022 15:06:13
x=1057, y=581, timestamp=08/5/2022 15:06:13
x=1059, y=582, timestamp=08/5/2022 15:06:13
x=1059, y=582, timestamp=08/5/2022 15:06:13
x=1060, y=582, timestamp=08/5/2022 15:06:13
x=1061, y=583, timestamp=08/5/2022 15:06:13
x=1062, y=583, timestamp=08/5/2022 15:06:13
x=1063, y=583, timestamp=08/5/2022 15:06:13
x=1063, y=583, timestamp=08/5/2022 15:06:13
x=1065, y=584, timestamp=08/5/2022 15:06:13
x=1066, y=584, timestamp=08/5/2022 15:06:13
x=1067, y=584, timestamp=08/5/2022 15:06:13
x=1068, y=584, timestamp=08/5/2022 15:06:13
x=1070, y=585, timestamp=08/5/2022 15:06:13
x=1071, y=585, timestamp=08/5/2022 15:06:13
x=1071, y=585, timestamp=08/5/2022 15:06:13
x=1073, y=586, timestamp=08/5/2022 15:06:13
x=1073, y=586, timestamp=08/5/2022 15:06:13
x=1074, y=586, timestamp=08/5/2022 15:06:13
x=1076, y=586, timestamp=08/5/2022 15:06:13
x=1076, y=586, timestamp=08/5/2022 15:06:13
x=1077, y=587, timestamp=08/5/2022 15:06:13
x=1079, y=587, timestamp=08/5/2022 15:06:13
x=1081, y=588, timestamp=08/5/2022 15:06:13
x=1081, y=588, timestamp=08/5/2022 15:06:13
x=1082, y=589, timestamp=08/5/2022 15:06:13
x=1084, y=589, timestamp=08/5/2022 15:06:13
x=1084, y=589, timestamp=08/5/2022 15:06:13
x=1086, y=589, timestamp=08/5/2022 15:06:13
x=1087, y=590, timestamp=08/5/2022 15:06:13
x=1088, y=590, timestamp=08/5/2022 15:06:13
x=1090, y=591, timestamp=08/5/2022 15:06:13
x=1090, y=591, timestamp=08/5/2022 15:06:13
x=1091, y=591, timestamp=08/5/2022 15:06:13
x=1093, y=592, timestamp=08/5/2022 15:06:13
x=1093, y=592, timestamp=08/5/2022 15:06:13
x=1094, y=593, timestamp=08/5/2022 15:06:13
x=1098, y=593, timestamp=08/5/2022 15:06:13
x=1099, y=593, timestamp=08/5/2022 15:06:13
x=1100, y=594, timestamp=08/5/2022 15:06:13
x=1102, y=595, timestamp=08/5/2022 15:06:13
x=1103, y=595, timestamp=08/5/2022 15:06:13
x=1104, y=595, timestamp=08/5/2022 15:06:13
x=1105, y=595, timestamp=08/5/2022 15:06:13
x=1107, y=596, timestamp=08/5/2022 15:06:13
x=1109, y=597, timestamp=08/5/2022 15:06:13
x=1110, y=597, timestamp=08/5/2022 15:06:13
x=1111, y=597, timestamp=08/5/2022 15:06:13
x=1112, y=598, timestamp=08/5/2022 15:06:13
x=1114, y=598, timestamp=08/5/2022 15:06:13
x=1115, y=599, timestamp=08/5/2022 15:06:13
x=1116, y=599, timestamp=08/5/2022 15:06:13
x=1118, y=599, timestamp=08/5/2022 15:06:13
x=1119, y=600, timestamp=08/5/2022 15:06:13
x=1120, y=600, timestamp=08/5/2022 15:06:13
x=1122, y=601, timestamp=08/5/2022 15:06:13
x=1124, y=601, timestamp=08/5/2022 15:06:13
x=1125, y=601, timestamp=08/5/2022 15:06:13
x=1126, y=601, timestamp=08/5/2022 15:06:13
x=1128, y=602, timestamp=08/5/2022 15:06:13
x=1130, y=602, timestamp=08/5/2022 15:06:13
x=1131, y=603, timestamp=08/5/2022 15:06:13
x=1133, y=603, timestamp=08/5/2022 15:06:13
x=1134, y=603, timestamp=08/5/2022 15:06:13
x=1135, y=603, timestamp=08/5/2022 15:06:13
x=1137, y=604, timestamp=08/5/2022 15:06:13
x=1139, y=604, timestamp=08/5/2022 15:06:13
x=1140, y=605, timestamp=08/5/2022 15:06:13
x=1142, y=605, timestamp=08/5/2022 15:06:13
x=1143, y=605, timestamp=08/5/2022 15:06:13
x=1145, y=605, timestamp=08/5/2022 15:06:13
x=1147, y=606, timestamp=08/5/2022 15:06:13
x=1148, y=606, timestamp=08/5/2022 15:06:13
x=1150, y=606, timestamp=08/5/2022 15:06:13
x=1152, y=607, timestamp=08/5/2022 15:06:13
x=1153, y=607, timestamp=08/5/2022 15:06:13
x=1154, y=608, timestamp=08/5/2022 15:06:13
x=1157, y=608, timestamp=08/5/2022 15:06:13
x=1158, y=608, timestamp=08/5/2022 15:06:13
x=1159, y=608, timestamp=08/5/2022 15:06:13
x=1161, y=608, timestamp=08/5/2022 15:06:13
x=1163, y=608, timestamp=08/5/2022 15:06:13
x=1166, y=609, timestamp=08/5/2022 15:06:13
x=1168, y=610, timestamp=08/5/2022 15:06:13
x=1170, y=610, timestamp=08/5/2022 15:06:13
x=1172, y=610, timestamp=08/5/2022 15:06:13
x=1174, y=610, timestamp=08/5/2022 15:06:13
x=1176, y=610, timestamp=08/5/2022 15:06:13
x=1180, y=611, timestamp=08/5/2022 15:06:13
x=1181, y=611, timestamp=08/5/2022 15:06:13
x=1183, y=611, timestamp=08/5/2022 15:06:13
x=1184, y=612, timestamp=08/5/2022 15:06:13
x=1186, y=612, timestamp=08/5/2022 15:06:13
x=1188, y=612, timestamp=08/5/2022 15:06:13
x=1190, y=612, timestamp=08/5/2022 15:06:13
x=1192, y=613, timestamp=08/5/2022 15:06:13
x=1193, y=613, timestamp=08/5/2022 15:06:13
x=1197, y=613, timestamp=08/5/2022 15:06:13
x=1199, y=614, timestamp=08/5/2022 15:06:13
x=1200, y=614, timestamp=08/5/2022 15:06:13
x=1202, y=614, timestamp=08/5/2022 15:06:13
x=1206, y=615, timestamp=08/5/2022 15:06:13
x=1208, y=615, timestamp=08/5/2022 15:06:13
x=1212, y=615, timestamp=08/5/2022 15:06:13
x=1214, y=615, timestamp=08/5/2022 15:06:13
x=1215, y=615, timestamp=08/5/2022 15:06:13
x=1218, y=615, timestamp=08/5/2022 15:06:13
x=1220, y=616, timestamp=08/5/2022 15:06:13
x=1221, y=616, timestamp=08/5/2022 15:06:13
x=1223, y=616, timestamp=08/5/2022 15:06:13
x=1225, y=616, timestamp=08/5/2022 15:06:13
x=1227, y=616, timestamp=08/5/2022 15:06:13
x=1228, y=617, timestamp=08/5/2022 15:06:13
x=1229, y=617, timestamp=08/5/2022 15:06:13
x=1231, y=617, timestamp=08/5/2022 15:06:13
x=1233, y=617, timestamp=08/5/2022 15:06:13
x=1235, y=617, timestamp=08/5/2022 15:06:13
x=1237, y=617, timestamp=08/5/2022 15:06:13
x=1241, y=617, timestamp=08/5/2022 15:06:13
x=1241, y=617, timestamp=08/5/2022 15:06:13
x=1243, y=617, timestamp=08/5/2022 15:06:13
x=1245, y=617, timestamp=08/5/2022 15:06:13
x=1246, y=617, timestamp=08/5/2022 15:06:13
x=1248, y=617, timestamp=08/5/2022 15:06:13
x=1250, y=617, timestamp=08/5/2022 15:06:13
x=1252, y=617, timestamp=08/5/2022 15:06:13
x=1252, y=617, timestamp=08/5/2022 15:06:13
x=1254, y=617, timestamp=08/5/2022 15:06:13
x=1256, y=617, timestamp=08/5/2022 15:06:13
x=1256, y=617, timestamp=08/5/2022 15:06:13
x=1258, y=617, timestamp=08/5/2022 15:06:13
x=1260, y=616, timestamp=08/5/2022 15:06:13
x=1261, y=616, timestamp=08/5/2022 15:06:13
x=1263, y=616, timestamp=08/5/2022 15:06:13
x=1263, y=616, timestamp=08/5/2022 15:06:13
x=1265, y=615, timestamp=08/5/2022 15:06:13
x=1268, y=614, timestamp=08/5/2022 15:06:13
x=1268, y=614, timestamp=08/5/2022 15:06:13
x=1269, y=614, timestamp=08/5/2022 15:06:13
x=1270, y=614, timestamp=08/5/2022 15:06:13
x=1271, y=613, timestamp=08/5/2022 15:06:13
x=1272, y=613, timestamp=08/5/2022 15:06:13
x=1274, y=613, timestamp=08/5/2022 15:06:13
x=1274, y=613, timestamp=08/5/2022 15:06:13
x=1275, y=612, timestamp=08/5/2022 15:06:13
x=1276, y=612, timestamp=08/5/2022 15:06:13
x=1277, y=612, timestamp=08/5/2022 15:06:13
x=1277, y=611, timestamp=08/5/2022 15:06:13
x=1278, y=610, timestamp=08/5/2022 15:06:13
x=1279, y=610, timestamp=08/5/2022 15:06:13
x=1280, y=609, timestamp=08/5/2022 15:06:13
x=1281, y=609, timestamp=08/5/2022 15:06:13
